target,drug,cellline,sigid,concentration,gene,expression_value
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000365759,-0.7366189956665039
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000395498,-0.0979638248682022
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000053469,-0.4322914779186249
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000332118,-0.22090812027454376
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000000442,0.33762919902801514
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000341268,-0.5171487331390381
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000304350,-0.13921454548835754
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000246533,0.7886930108070374
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000259469,-0.3220961391925812
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000401450,-0.13623982667922974
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000340281,-0.04139639437198639
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000216190,-0.12229783833026885
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000340278,-0.3686754703521729
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000267884,-0.40539121627807617
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000369538,-0.1678067445755005
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000363676,0.1745767593383789
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000346027,-0.4955564737319946
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000377640,-0.2302263379096985
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000353157,0.09094128012657167
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000272317,-0.15914925932884216
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000435777,-0.1965111643075943
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000431822,-0.2358491718769073
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000309629,-0.8823072910308838
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000447001,0.052669767290353775
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000310040,1.2717084884643557
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000196551,-0.09564189612865448
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000253788,-0.6619268655776978
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000378160,0.04093217849731445
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000256854,0.08684833347797394
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000338030,-0.3917791247367859
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000225430,-0.2967332303524017
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000228318,0.22835567593574524
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000270625,-0.7135086655616759
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000346022,-0.09071773290634157
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000225792,-0.5602557063102722
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000202773,0.2198185622692108
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000321732,0.35948869585990906
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000363018,-0.15600499510765076
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000336687,0.24504858255386355
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000362334,-0.4121473431587219
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000313829,-0.17236578464508054
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000216038,-0.3495880365371704
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000451080,-0.5534745454788208
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000313603,-0.4209523797035217
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000250498,-0.8261546492576599
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000259021,0.15483497083187106
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000392095,0.8405039310455322
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000310448,-0.14201176166534424
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000355011,-0.8210021853446959
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000206020,-0.30594736337661743
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000227322,0.9622023105621338
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000299424,1.1056116819381714
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000348107,-0.4515801072120666
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000276079,0.4259252548217773
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000317123,-0.4151897430419922
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000400175,-0.3077527582645416
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000301730,1.419477462768555
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000414321,-0.4424747228622437
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000287038,-0.2049375027418137
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000325875,0.16476735472679138
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000272102,-0.1844809055328369
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000396301,0.16595877707004547
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000230085,1.1392178535461426
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000353698,0.6075372695922852
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000358605,-0.61468505859375
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000325376,-0.0705232322216034
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000345156,0.7530136108398438
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000355689,-1.0625587701797483
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000222307,0.14245516061782834
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000431605,-0.9078789949417114
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000369757,0.0
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000261497,0.2050083577632904
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000253452,0.7959557771682739
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000262225,-0.7733112573623657
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000303423,0.4919930696487427
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000435061,0.4919930696487427
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000435096,0.14204034209251404
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000274242,-0.5688344240188599
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000307940,1.3233635425567627
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000365439,-0.4132120907306671
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000261819,0.16148826479911804
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000346050,-0.32636409997940063
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000283179,-0.9796509742736816
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000358140,0.120169535279274
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000299767,0.0051874369382858285
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000353408,0.27195996046066284
