chr1	chunk1_start	chunk1_end	chr2	chunk2_start	chunk2_end	contactCount	p-value	q-value
10	0	1000000	11	0	1000000	12	9.081386999999998e-27	2.322778e-24
10	1000000	2000000	11	0	1000000	9	3.3107159999999994e-19	7.090018e-17
10	2000000	3000000	11	0	1000000	8	1.0808739999999998e-16	2.207551e-14
10	3000000	4000000	11	0	1000000	22	5.343768e-50	2.1612289999999995e-47
10	4000000	5000000	11	0	1000000	25	2.1126379999999996e-58	9.529416000000002e-56
10	5000000	6000000	11	0	1000000	30	4.541604e-72	2.3330919999999996e-69
10	6000000	7000000	11	0	1000000	20	9.153587999999999e-45	3.4092339999999995e-42
10	7000000	8000000	11	0	1000000	11	2.871343e-23	6.7395769999999985e-21
10	8000000	9000000	11	0	1000000	18	9.076030999999999e-40	3.091776e-37
10	9000000	10000000	11	0	1000000	7	2.845281e-14	5.594041e-12
10	10000000	11000000	11	0	1000000	10	3.034651e-21	6.788631999999999e-19
10	11000000	12000000	11	0	1000000	15	1.274736e-32	3.7389089999999995e-30
10	12000000	13000000	11	0	1000000	24	2.5796299999999993e-56	1.1365339999999999e-53
10	13000000	14000000	11	0	1000000	30	2.4517609999999998e-71	1.2521039999999999e-68
10	14000000	15000000	11	0	1000000	16	1.144757e-34	3.503851e-32
10	15000000	16000000	11	0	1000000	15	1.0906659999999999e-32	3.2063699999999996e-30
10	16000000	17000000	11	0	1000000	10	1.6138549999999998e-20	3.563004e-18
10	17000000	18000000	11	0	1000000	13	2.83184e-28	7.50142e-26
10	18000000	19000000	11	0	1000000	12	5.286101999999999e-27	1.358382e-24
10	19000000	20000000	11	0	1000000	7	2.886279e-14	5.673919e-12
10	20000000	21000000	11	0	1000000	8	5.535058999999999e-16	1.1211189999999999e-13
10	21000000	22000000	11	0	1000000	17	4.233952999999999e-37	1.3644849999999999e-34
10	22000000	23000000	11	0	1000000	15	1.707924e-32	4.9901e-30
10	23000000	24000000	11	0	1000000	19	1.226538e-42	4.408133e-40
10	24000000	25000000	11	0	1000000	13	3.7460909999999994e-27	9.654976e-25
10	25000000	26000000	11	0	1000000	18	2.372132e-40	8.179361e-38
10	26000000	27000000	11	0	1000000	11	5.7171560000000004e-24	1.367362e-21
10	27000000	28000000	11	0	1000000	20	2.3738829999999996e-45	8.910660999999999e-43
10	28000000	29000000	11	0	1000000	26	3.0909489999999995e-61	1.4399239999999998e-58
10	29000000	30000000	11	0	1000000	32	5.879468e-78	3.15041e-75
10	30000000	31000000	11	0	1000000	33	3.3277659999999996e-80	1.813512e-77
10	31000000	32000000	11	0	1000000	8	5.309956e-16	1.0759030000000001e-13
10	32000000	33000000	11	0	1000000	33	2.6310179999999995e-81	1.446823e-78
10	33000000	34000000	11	0	1000000	17	1.221986e-36	3.899367e-34
10	34000000	35000000	11	0	1000000	25	1.3875779999999997e-57	6.214473e-55
10	35000000	36000000	11	0	1000000	20	2.612023e-44	9.644953e-42
10	36000000	37000000	11	0	1000000	17	1.1819289999999997e-37	3.8592609999999994e-35
10	37000000	38000000	11	0	1000000	7	1.001534e-14	1.9781299999999998e-12
10	38000000	39000000	11	0	1000000	8	7.011298e-18	1.469044e-15
10	43000000	44000000	11	0	1000000	18	1.5564049999999998e-40	5.388435999999999e-38
10	44000000	45000000	11	0	1000000	9	2.444403e-19	5.250404000000001e-17
10	45000000	46000000	11	0	1000000	8	4.017061e-16	8.150845e-14
10	47000000	48000000	11	0	1000000	5	2.778282e-10	5.221974e-08
10	48000000	49000000	11	0	1000000	3	2.542622e-06	0.0004684578
10	49000000	50000000	11	0	1000000	10	1.3704339999999999e-21	3.093819e-19
10	50000000	51000000	11	0	1000000	13	1.592937e-27	4.14335e-25
10	52000000	53000000	11	0	1000000	16	1.8371589999999997e-35	5.733661e-33
10	53000000	54000000	11	0	1000000	13	3.653741e-28	9.654718e-26
10	54000000	55000000	11	0	1000000	11	1.170886e-22	2.71439e-20
10	55000000	56000000	11	0	1000000	8	2.3278e-16	4.737225e-14
10	56000000	57000000	11	0	1000000	7	2.8187670000000004e-14	5.542149e-12
10	57000000	58000000	11	0	1000000	3	8.36648e-06	0.001539794
10	58000000	59000000	11	0	1000000	4	8.414676e-08	1.5602e-05
10	59000000	60000000	11	0	1000000	7	6.70145e-14	1.3134629999999998e-11
10	60000000	61000000	11	0	1000000	8	8.453433999999999e-16	1.706902e-13
10	61000000	62000000	11	0	1000000	20	3.5607309999999996e-45	1.334063e-42
10	62000000	63000000	11	0	1000000	12	6.1043310000000005e-25	1.4946619999999999e-22
10	63000000	64000000	11	0	1000000	16	7.921199999999999e-35	2.431293e-32
10	64000000	65000000	11	0	1000000	16	2.2940309999999997e-34	6.968723e-32
10	65000000	66000000	11	0	1000000	18	6.236046999999999e-40	2.132372e-37
10	66000000	67000000	11	0	1000000	4	7.652661999999999e-08	1.4193120000000001e-05
10	67000000	68000000	11	0	1000000	7	3.3505810000000004e-14	6.583003e-12
10	68000000	69000000	11	0	1000000	12	1.262372e-25	3.1374970000000004e-23
10	69000000	70000000	11	0	1000000	19	3.128901e-43	1.1338069999999999e-40
10	70000000	71000000	11	0	1000000	42	1.3987299999999998e-106	8.798078999999998e-104
10	71000000	72000000	11	0	1000000	38	7.498297999999998e-94	4.441631999999999e-91
10	72000000	73000000	11	0	1000000	35	7.150102e-86	4.056402999999999e-83
10	73000000	74000000	11	0	1000000	43	2.7068809999999997e-108	1.7157659999999995e-105
10	74000000	75000000	11	0	1000000	46	3.963232999999999e-119	2.6263449999999993e-116
10	75000000	76000000	11	0	1000000	50	2.0738089999999993e-131	1.4412579999999995e-128
10	76000000	77000000	11	0	1000000	37	2.4544479999999994e-92	1.4416579999999996e-89
10	77000000	78000000	11	0	1000000	23	3.541065e-53	1.499026e-50
10	78000000	79000000	11	0	1000000	17	4.049577e-37	1.305614e-34
10	79000000	80000000	11	0	1000000	24	5.33078e-54	2.278866e-51
10	80000000	81000000	11	0	1000000	26	5.525524999999999e-60	2.540663e-57
10	81000000	82000000	11	0	1000000	8	1.637103e-16	3.33825e-14
10	82000000	83000000	11	0	1000000	8	5.502097e-16	1.114492e-13
10	83000000	84000000	11	0	1000000	7	1.796073e-14	3.5380150000000002e-12
10	84000000	85000000	11	0	1000000	13	1.02037e-27	2.6639900000000002e-25
10	85000000	86000000	11	0	1000000	6	1.1858019999999999e-11	2.261286e-09
10	86000000	87000000	11	0	1000000	14	2.1230369999999997e-30	5.918674999999999e-28
10	87000000	88000000	11	0	1000000	6	7.1666429999999996e-12	1.3692639999999997e-09
10	88000000	89000000	11	0	1000000	19	1.729386e-43	6.285997e-41
10	89000000	90000000	11	0	1000000	17	7.764723999999999e-39	2.5878359999999997e-36
10	90000000	91000000	11	0	1000000	18	1.2842489999999999e-39	4.355818e-37
10	91000000	92000000	11	0	1000000	21	1.0881649999999999e-47	4.2415279999999997e-45
10	92000000	93000000	11	0	1000000	14	9.144197e-30	2.5063109999999998e-27
10	93000000	94000000	11	0	1000000	35	8.534084e-87	4.869159999999999e-84
10	94000000	95000000	11	0	1000000	29	3.075157e-69	1.5437619999999998e-66
10	95000000	96000000	11	0	1000000	23	1.494779e-52	6.278733e-50
10	96000000	97000000	11	0	1000000	11	3.4908819999999997e-23	8.180407e-21
10	97000000	98000000	11	0	1000000	14	1.8683739999999998e-29	5.083763e-27
10	98000000	99000000	11	0	1000000	23	6.330159000000001e-53	2.6708849999999994e-50
10	99000000	100000000	11	0	1000000	34	3.329308999999999e-82	1.841596e-79
10	100000000	101000000	11	0	1000000	11	6.021805e-23	1.403913e-20
10	101000000	102000000	11	0	1000000	30	1.7465599999999995e-71	8.924561999999997e-69
10	102000000	103000000	11	0	1000000	41	1.4715819999999997e-102	9.088723999999999e-100
10	103000000	104000000	11	0	1000000	43	1.3375289999999997e-109	8.523731999999997e-107
10	104000000	105000000	11	0	1000000	54	2.313385e-141	1.6700129999999995e-138
10	105000000	106000000	11	0	1000000	34	1.1123699999999996e-81	6.130208999999999e-79
10	106000000	107000000	11	0	1000000	10	4.846357e-20	1.059596e-17
10	107000000	108000000	11	0	1000000	15	1.614664e-33	4.826328e-31
